doid	cui
DOID:10261	UMLS:C0155540
DOID:10264	UMLS:C0026780
DOID:10266	UMLS:C0155655
DOID:10272	UMLS:C0155702
DOID:10273	UMLS:C0029630
DOID:10283	UMLS:C0033578
DOID:10283	UMLS:C0376358
DOID:10286	UMLS:C0600139
DOID:10287	UMLS:C1302530
DOID:10289	UMLS:C1334615
DOID:1029	UMLS:C0030443
DOID:10290	UMLS:C1335512
DOID:10293	UMLS:C0152204
DOID:10300	UMLS:C0034734
DOID:10301	UMLS:C0030583
DOID:10302	UMLS:C0030579
DOID:10303	UMLS:C0037023
DOID:10310	UMLS:C0025297
DOID:10314	UMLS:C0014118
DOID:10314	UMLS:C0375268
DOID:10316	UMLS:C0032273
DOID:10319	UMLS:C0340184
DOID:10320	UMLS:C0003949
DOID:10321	UMLS:C0340177
DOID:10322	UMLS:C0005138
DOID:10323	UMLS:C0006542
DOID:10324	UMLS:C0003164
DOID:10325	UMLS:C0037116
DOID:10326	UMLS:C0006915
DOID:10327	UMLS:C0003165
DOID:10328	UMLS:C0037061
DOID:10329	UMLS:C0238377
DOID:10330	UMLS:C0340186
DOID:10331	UMLS:C0264435
DOID:10337	UMLS:C0271342
DOID:10341	UMLS:C0154653
DOID:10348	UMLS:C0005744
DOID:10349	UMLS:C0037619
DOID:1035	UMLS:C1292777
DOID:10350	UMLS:C0006144
DOID:10352	UMLS:C1305875
DOID:10353	UMLS:C0156318
DOID:10354	UMLS:C0016034
DOID:10361	UMLS:C0154652
DOID:10366	UMLS:C0153602
DOID:10368	UMLS:C1510784
DOID:1037	UMLS:C0023448
DOID:10371	UMLS:C0043388
DOID:10375	UMLS:C0750903
DOID:10376	UMLS:C0002418
DOID:10377	UMLS:C0152190
DOID:10378	UMLS:C0152189
DOID:10383	UMLS:C1510479
DOID:1039	UMLS:C0023486
DOID:10393	UMLS:C0029412
DOID:10398	UMLS:C0152937
DOID:10398	UMLS:C0152938
DOID:10398	UMLS:C0524688
DOID:10399	UMLS:C0153205
DOID:104	UMLS:C0004623
DOID:1040	UMLS:C0023434
DOID:10400	UMLS:C0578661
DOID:10423	UMLS:C0001342
DOID:10426	UMLS:C0022738
DOID:10428	UMLS:C0155131
DOID:10435	UMLS:C0155439
DOID:10439	UMLS:C0155072
DOID:10440	UMLS:C0155071
DOID:10441	UMLS:C0155067
DOID:10442	UMLS:C0155070
DOID:10443	UMLS:C0020641
DOID:10444	UMLS:C0155068
DOID:10445	UMLS:C0151844
